reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
420f0339-478c-4e19-aea1-882ad18a4dcf,Fernando Costa,https://play-lh.googleusercontent.com/a-/ALV-UjXBtXgnOi80dmhuwlhkS1P8yJrYn0T2mL7bLSsouGC32gQ,"Excellent contents on a miserable app. Used to work much better before adds starting popping up every time before the content. The only way to listen to audio contents is with screen always on, otherwise it just stops playing after a few seconds...and then adds again to resume playing. That makes this app unusable for this kind of content. It used to work much better some time ago...sadly, a missing opportunity to deliver a great public service.",1,13,2.0.44,2023-07-07 09:45:27,,,2.0.44
1c8d21d3-90c8-43e7-90a3-ff97ea56453b,Gregg Thompson,https://play-lh.googleusercontent.com/a/ACg8ocI4CuLocNDpyW9BfJeuVRLiI6a_Scjy-oQ68Ix5w6ElqYA=mo,"Hi, great app but the closed captions (subtitles) button doesn't work. The captions do work in the web browser. Please fix! Also, such a pity that some shows don't have online rights and don't play. Otherwise a goldmine for people learning the language.",4,30,2.0.19,2020-10-10 17:58:33,,,2.0.19
6478dfcc-181b-4e7f-8c73-4a349c936a9b,Nigel,https://play-lh.googleusercontent.com/a-/ALV-UjX_P_l1uRceyG278LxdSoxdIp9M4KD7VsKullF-RygZ-iWy,"Not good enough like the website. It does not have English subtitles for many shows when website version has the English subtitles. Also, the ad that is shown before playing every video on app is very repeatative and unskippable. At least show relevant ads.",2,14,2.0.32,2022-01-13 18:02:21,,,2.0.32
af4640c6-e696-4591-92e6-b827a0f9c8c2,Tiago Diniz-Porto,https://play-lh.googleusercontent.com/a-/ALV-UjWYtAW49IFo7-a0IN47ZgtJGbMm-euRwfrU30imvjZa-0Q,"PS (sugestão): seria bom a app ter a possibilidade de pôr para trás os programas que estão a ser emitidos em directo) - porquê a não há? _____ RTP Play is the 'made-in-Portugal' Netflix (as SIC is now also trying with Opto) - one of the very best portuguese public investments of our days (and eventually ever - as never before it is lifting up my country's creativity in so many different areas. Congratulations to who had this idea, and to those turning it into such a great tool - e, PARABÉNS RTP!",5,29,2.0.36,2022-08-22 00:32:35,,,2.0.36
5fda2bf4-71f3-40fb-8526-50bb116431f8,Ivan Jetá,https://play-lh.googleusercontent.com/a-/ALV-UjXh4auUUO0XeWmpltPminej45VxTsRnsgNoJ7-Re9_0Tw,Half working app. The stream stops a minute or so after you lock the screen. This absolutely puts an end of you trying to listen to the radio on the go for instance.,2,22,2.0.19,2020-12-09 12:18:10,,,2.0.19
b3cde9ed-a8e9-42ae-8b19-f6d0617f6d49,Valerio Bettini,https://play-lh.googleusercontent.com/a-/ALV-UjXDDCbrpzQGybAz3y8058QLKfdq13chMljErPDZkHwFEI73,Advertisement is displayed and when it finishes any movie/show doesn't start. (Android 11) Went to report a problem and the message wasn't sent. Please make an effort to develop this app better...,1,13,2.0.28,2021-05-08 22:26:19,,,2.0.28
cd2dcedc-b750-49e9-bccd-bc99c40329ab,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Used to work, but the last few months I cannot access it... just buffering and does not work. I used in the past for the telejornal, something changed. Very disappointing",1,17,1.0.9,2019-03-22 23:25:23,,,1.0.9
136bc92a-d2d5-4906-a265-e1e0d24f28b5,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I am not able to watch recorded programs or live channels. just showing loading cicle. I have it installed on two different android boxes.,1,7,1.0.9,2019-05-31 01:20:47,,,1.0.9
ac7f268a-80fc-4b2d-bbf5-8f85bd218641,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Does not have Chromecast support and will not install on Nvidia Shield TV so there is no way to get this onto my big screen. Nao tem Chromecast nem travalha no Nvidia Shield TV!,1,10,1.0.8,2018-11-04 05:24:08,,,1.0.8
d46e765e-e38a-4811-9a5d-258f992ef973,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"stops a lot! comparing to rádio comercial app and other rádios in Portugal!! G'day bom dia! Re installed it today, 7th December 2019, much better! G'day! 🤙🍺🇦🇺",4,14,2.0.4,2019-12-07 02:06:13,"Caro José Costa, obrigado pelo seu comentário. A RTP Play emite alguns conteúdos (em direto e a pedido) em qualidade HD. Para obter a melhor experiência possível é necessário uma boa disponibilidade de rede. A última atualização melhorou algumas questões, mas não nos é possível controlar a disponibilidade das redes móveis.",2019-12-17 08:05:45,2.0.4
c11627e8-7322-45bd-bf3b-f8163b37085b,João Correia,https://play-lh.googleusercontent.com/a-/ALV-UjWB1V1QIPgJtUdZIN2m2L0jl9HjTZSTfecPqR4-Xfs0NlzK,"stopped to work once made the update. i can get in the app, but I am unable to see any live or series.",1,11,2.0.31,2021-08-04 20:51:06,,,2.0.31
3fb369f6-639c-410c-b3d7-d2ab576a1b6b,Flor,https://play-lh.googleusercontent.com/a/ACg8ocKzQZdLyBCxSP1yBeGod2FeH9NdryhF6TzDr-EZas_-=mo,"It's good but I don't understand why the subtitles option doesn't work, I click on it and nothing happens. Can you help please",4,14,2.0.16,2020-06-23 21:50:04,,,2.0.16
aaebd8c5-64a6-4adf-a6f0-aa126706fe74,Maria da Luz Alexandrino,https://play-lh.googleusercontent.com/a-/ALV-UjWeftEPBsIGKajEH76nMKxBOI9k-GtqqhsCkjhY62dE-w,Does not refresh. Force stop is the only way to download updated news.,1,2,2.0.44,2023-09-17 20:12:15,,,2.0.44
7a6b0739-9839-405d-ba79-77bb262def71,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,In general it's a good app. But I miss the connection to chromecast...,3,3,1.0.9,2019-04-16 18:43:56,,,1.0.9
0f988675-46b8-4201-96d1-f8add6587930,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This new version is just showing a black screen but no direct video on my android 5 tablet.,2,20,2.0.3,2019-10-20 18:04:27,"Dear user thank you for your comment. 
This new update has android 9 support.",2019-09-13 18:54:22,2.0.3
8dc4a739-5fd5-48f7-a6c0-639ed4294c5e,jorge Guerreiro,https://play-lh.googleusercontent.com/a/ACg8ocINieBAn5L0mUGL2qeNsO1AN-JZjMSob3qSnbxJB74S=mo,Just use for be updated with the Portuguese news,5,1,2.0.40,2023-03-01 02:52:49,,,2.0.40
bf46ea4c-0c33-4830-8593-3a63a12273d3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Cannot open it on MINIX UH9, crashes on launch! MUITO MAU!!!",1,6,1.0.9,2019-05-08 06:54:13,,,1.0.9
2b3ead2a-f119-4e15-996b-0d5d13b9fe03,Bruno Espada,https://play-lh.googleusercontent.com/a-/ALV-UjXB8ag6g0M4nbbgBvtTmnPfxn4OfAcWS6RrtZ7ub1ZGAg,Always freezing. But ads always work...,2,14,2.0.31,2021-09-20 19:26:05,,,2.0.31
652fafaa-ff89-416b-b7b5-7e3ae44ac0a1,Allie IsWell,https://play-lh.googleusercontent.com/a-/ALV-UjXo_AZWvSBcvsVbXFpji2ox7LIdHRjYCwysgWeQspCNiZU,The app works well but PLEASE add subtitles,3,0,2.0.40,2022-12-09 00:57:51,,,2.0.40
947068d2-b907-4d3a-bb19-5c5784b6ac42,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Any single channel won't Play, newest Samsung. Booh!",1,5,1.0.8,2019-02-18 15:44:52,,,1.0.8
fd190b04-9da8-4af1-861f-2a6333df3085,Angelo & Fatima Da Costa,https://play-lh.googleusercontent.com/a/ACg8ocKpIAHtYt48PWkIe_MvBVGrd6SFF3LOjhgiVR3MIf8c=mo,Keeps freezing over and over very annoying,1,4,2.0.31,2021-09-25 19:07:34,,,2.0.31
7a65e2fa-a6aa-4940-916b-a5db83dda785,Catarina Guerreiro,https://play-lh.googleusercontent.com/a/ACg8ocLUSv61vTY3AJRs4tjwRAuMRXVlvX5LhGYDK6GRx5nOIg=mo,Saddly doesn't cast to chromecast as announced.,5,2,2.0.19,2020-10-11 13:57:59,,,2.0.19
